"","state_name","race","pct"
"212","Arkansas","asian",1
"213","California","asian",7
"214","Colorado","asian",1
"215","Connecticut","asian",4
"216","Delaware","asian",3
"217","District of Columbia","asian",4
"218","Florida","asian",2
"219","Georgia","asian",1
"220","Hawaii","asian",31
"221","Idaho","asian",1
"222","Illinois","asian",1
"223","Indiana","asian",1
"224","Iowa","asian",1
"225","Kansas","asian",1
"226","Kentucky","asian",1
"227","Louisiana","asian",1
"228","Maine","asian",1
"229","Maryland","asian",3
"230","Massachusetts","asian",4
"231","Michigan","asian",1
"232","Minnesota","asian",1
"233","Mississippi","asian",1
"234","Missouri","asian",1
"235","Montana","asian",0
"236","Nebraska","asian",1
"237","Nevada","asian",2
"238","New Hampshire","asian",2
"239","New Jersey","asian",7
"240","New Mexico","asian",1
"241","New York","asian",3
"242","North Carolina","asian",1
"243","North Dakota","asian",0
"244","Ohio","asian",1
"245","Oklahoma","asian",1
"246","Oregon","asian",2
"247","Pennsylvania","asian",1
"248","Puerto Rico","asian",0
"249","Rhode Island","asian",2
"250","South Carolina","asian",1
"251","South Dakota","asian",1
"252","Tennessee","asian",1
"253","Texas","asian",1
"254","Utah","asian",1
"255","Vermont","asian",1
"256","Virginia","asian",2
"257","Washington","asian",3
"258","West Virginia","asian",0
"259","Wisconsin","asian",1
"260","Wyoming","asian",1
"261","Alabama","pacific",0
"262","Alaska","pacific",1
"263","Arizona","pacific",0
"264","Arkansas","pacific",0
"265","California","pacific",0
"266","Colorado","pacific",0
"267","Connecticut","pacific",0
"268","Delaware","pacific",0
"269","District of Columbia","pacific",0
"270","Florida","pacific",0
"271","Georgia","pacific",0
"272","Hawaii","pacific",14
"273","Idaho","pacific",0
"274","Illinois","pacific",0
"275","Indiana","pacific",0
"276","Iowa","pacific",0
"277","Kansas","pacific",0
"278","Kentucky","pacific",0
"279","Louisiana","pacific",0
"280","Maine","pacific",0
"281","Maryland","pacific",0
"282","Massachusetts","pacific",0
"283","Michigan","pacific",0
"284","Minnesota","pacific",0
"285","Mississippi","pacific",0
"286","Missouri","pacific",0
"287","Montana","pacific",0
"288","Nebraska","pacific",0
"289","Nevada","pacific",0
"290","New Hampshire","pacific",0
"291","New Jersey","pacific",0
"292","New Mexico","pacific",0
"293","New York","pacific",0
"294","North Carolina","pacific",0
"295","North Dakota","pacific",0
"296","Ohio","pacific",0
"297","Oklahoma","pacific",0
"298","Oregon","pacific",0
"299","Pennsylvania","pacific",0
"300","Puerto Rico","pacific",0
"301","Rhode Island","pacific",0
"302","South Carolina","pacific",0
"303","South Dakota","pacific",0
"304","Tennessee","pacific",0
"305","Texas","pacific",0
"306","Utah","pacific",0
"307","Vermont","pacific",0
"308","Virginia","pacific",0
"309","Washington","pacific",0
"310","West Virginia","pacific",0
"311","Wisconsin","pacific",0
"312","Wyoming","pacific",0
