"","state_name","job_type","pct"
"159","New Mexico","construction",13.0545454545455
"160","New Mexico","production",9.66060606060606
"161","New York","professional",35.7838709677419
"162","New York","service",19.6129032258065
"163","New York","office",22.7322580645161
"164","New York","construction",9.80483870967742
"165","New York","production",12.0661290322581
"166","North Carolina","professional",30.847
"167","North Carolina","service",19.304
"168","North Carolina","office",22.037
"169","North Carolina","construction",11.708
"170","North Carolina","production",16.105
"171","North Dakota","professional",36.5339622641509
"172","North Dakota","service",16.2660377358491
"173","North Dakota","office",19.1792452830189
"174","North Dakota","construction",15.2698113207547
"175","North Dakota","production",12.7490566037736
"176","Ohio","professional",30.5806818181818
"177","Ohio","service",17.2136363636364
"178","Ohio","office",21.75
"179","Ohio","construction",9.96363636363636
"180","Ohio","production",20.4965909090909
"181","Oklahoma","professional",30.461038961039
"182","Oklahoma","service",17.6805194805195
"183","Oklahoma","office",21.8584415584416
"184","Oklahoma","construction",14.2
"185","Oklahoma","production",15.8012987012987
"186","Oregon","professional",32.875
"187","Oregon","service",19.3
"188","Oregon","office",21.6916666666667
"189","Oregon","construction",12.6694444444444
"190","Oregon","production",13.4611111111111
"191","Pennsylvania","professional",31.9014925373134
"192","Pennsylvania","service",18.065671641791
"193","Pennsylvania","office",22.2298507462687
"194","Pennsylvania","construction",10.5970149253731
"195","Pennsylvania","production",17.189552238806
"196","Puerto Rico","professional",29.1602564102564
"197","Puerto Rico","service",21.8884615384615
"198","Puerto Rico","office",25.9333333333333
"199","Puerto Rico","construction",10.8179487179487
"200","Puerto Rico","production",12.1923076923077
"201","Rhode Island","professional",41.88
"202","Rhode Island","service",18.88
"203","Rhode Island","office",22.72
"204","Rhode Island","construction",7.26
"205","Rhode Island","production",9.28
"206","South Carolina","professional",28.7434782608696
"207","South Carolina","service",18.6369565217391
"208","South Carolina","office",23.2108695652174
"209","South Carolina","construction",10.6217391304348
"210","South Carolina","production",18.7760869565217
"211","South Dakota","professional",36.9378787878788
"212","South Dakota","service",16.769696969697
"213","South Dakota","office",20.1621212121212
"214","South Dakota","construction",13.6954545454545
"215","South Dakota","production",12.4363636363636
"216","Tennessee","professional",28.3757894736842
"217","Tennessee","service",17.4494736842105
"218","Tennessee","office",22.3694736842105
"219","Tennessee","construction",11.5357894736842
"220","Tennessee","production",20.2778947368421
"221","Texas","professional",29.3956692913386
"222","Texas","service",18.3826771653543
"223","Texas","office",21.7082677165354
"224","Texas","construction",15.8653543307087
"225","Texas","production",14.6535433070866
"226","Utah","professional",32.3068965517241
"227","Utah","service",19.1586206896552
"228","Utah","office",22.2896551724138
"229","Utah","construction",13.3379310344828
"230","Utah","production",12.9103448275862
"231","Vermont","professional",37.75
"232","Vermont","service",18.1714285714286
"233","Vermont","office",21.0785714285714
"234","Vermont","construction",11.3571428571429
"235","Vermont","production",11.6357142857143
"236","Virginia","professional",34.3541353383459
"237","Virginia","service",18.5375939849624
"238","Virginia","office",22.9233082706767
"239","Virginia","construction",10.7714285714286
"240","Virginia","production",13.4165413533835
"241","Washington","professional",33.3153846153846
"242","Washington","service",18.6435897435897
"243","Washington","office",21.3564102564103
"244","Washington","construction",13.9205128205128
"245","Washington","production",12.7512820512821
"246","West Virginia","professional",29.1909090909091
"247","West Virginia","service",19.7563636363636
"248","West Virginia","office",22.0381818181818
"249","West Virginia","construction",14.0418181818182
"250","West Virginia","production",14.98
"251","Wisconsin","professional",30.8847222222222
"252","Wisconsin","service",17.3527777777778
"253","Wisconsin","office",21.6222222222222
"254","Wisconsin","construction",11.1625
"255","Wisconsin","production",18.9736111111111
"256","Wyoming","professional",33.2347826086957
"257","Wyoming","service",18.0304347826087
"258","Wyoming","office",19.2913043478261
"259","Wyoming","construction",16.1434782608696
"260","Wyoming","production",13.304347826087
